cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.00038834651481929117,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.0005032298560459291,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.00013686834308619065,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.0001777934904328201,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.0002469097302476959,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.00023599291442533921,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.00019943247552246693,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-ac,0.00020700493757039594,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.0003612662099394862,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.0005096995505522191,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.00010787180260742002,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.00018273777958722343,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.00023703430724127851,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.00021289299097424706,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.00021169911194605074,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,0.0,0.0,staggered-cycle,quadratic-vc,0.00019917277651652383,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.0001492805065342537,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.000205874454442912,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.00015327591500080155,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.0005363393418923534,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.0007753794454816943,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.00016443030204958207,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.00027481297338096533,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,0.0,0.0,frames,quadratic-ac,0.0002718092042760618,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,0.0,0.0,frames,quadratic-vc,0.0001745900168129996,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,0.0,0.0,frames,quadratic-vc,0.000178277961532807,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,0.0,0.0,frames,quadratic-vc,0.00015247455727633783,
