cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.14320588164878884,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.051466539278086934,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.24898714583439652,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.07035201260006564,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.051560010017989516,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.15368869026521376,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.05387934692026268,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-ac,0.1538881072786764,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.1277528600585251,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.045807874692855376,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.24237204552625904,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.047897155518512494,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.04780025339683687,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.14826130649139374,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,0.1,1.0,0.0,staggered-cycle,mirror-vc,0.053665132545565625,
