cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.001647825092693399,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.000767196571300737,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.00025693273373275237,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0006130551887035997,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.00017381837539864276,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0003463140070780724,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0003125939505826637,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0004456142769456982,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0017190361548567218,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.000936876350700231,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0002486395903337281,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0005790570624477572,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00013906351646439738,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.000322805872681842,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00035396334234223664,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,staggered-cycle,quadratic-vc,0.00036855424398387254,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0017811317995549197,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0005892308964785543,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0029801244550718997,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0007877893948842566,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.004313354237324537,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0020153340632245364,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0016122869893043636,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-ac,0.0012360160600870334,
independent,independent/rep0-stream0-regime0-d10/0,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0019126828274202705,
independent,independent/rep0-stream0-regime0-d10/1,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0006040055608347289,
independent,independent/rep0-stream0-regime0-d10/2,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0029169207836779233,
independent,independent/rep0-stream0-regime0-d10/3,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.000752276778970232,
independent,independent/rep0-stream0-regime0-d10/4,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0045184535358732915,
independent,independent/rep0-stream0-regime0-d10/5,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0017043647771409856,
independent,independent/rep0-stream0-regime0-d10/6,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.0015558932418581277,
independent,independent/rep0-stream0-regime0-d10/7,0,0,0,10,10.0,1.0,0.0,staggered-cycle,quadratic-vc,0.001276281106659579,
