cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
robustness,robustness/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,0.00018141386508502562,True
robustness,robustness/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,0.0003052863383273032,True
robustness,robustness/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,9.335071161683804e-05,True
robustness,robustness/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,0.0002465627031059388,True
robustness,robustness/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,0.0008317105036410882,True
robustness,robustness/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,0.00025016251875275387,True
robustness,robustness/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,0.00019548498602686695,True
robustness,robustness/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,staggered-cycle,hybrid-vc,8.647173347648649e-05,True
robustness,robustness/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.04984971715604429,True
robustness,robustness/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.0391703078742374,True
robustness,robustness/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.03344154177264537,True
robustness,robustness/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.007113019133967614,True
robustness,robustness/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.005033589645528063,True
robustness,robustness/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.02098448090457137,True
robustness,robustness/rep0-stream0-regime0-d10/6,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.00924731738154469,True
robustness,robustness/rep0-stream0-regime0-d10/7,0,0,0,10,1.0,1.0,0.0,staggered-cycle,rank,0.007154979201080617,True
robustness,robustness/rep0-stream0-regime0-d10/0,0,0,0,10,1.0,1.0,0.0,staggered-cycle,soft-quadratic,0.00018268465427528788,True
robustness,robustness/rep0-stream0-regime0-d10/1,0,0,0,10,1.0,1.0,0.0,staggered-cycle,soft-quadratic,0.0004342203975454936,True
robustness,robustness/rep0-stream0-regime0-d10/2,0,0,0,10,1.0,1.0,0.0,staggered-cycle,soft-quadratic,0.00013248276702350486,True
robustness,robustness/rep0-stream0-regime0-d10/3,0,0,0,10,1.0,1.0,0.0,staggered-cycle,soft-quadratic,0.00023535486039596006,True
robustness,robustness/rep0-stream0-regime0-d10/4,0,0,0,10,1.0,1.0,0.0,staggered-cycle,soft-quadratic,0.0009699802179848776,True
robustness,robustness/rep0-stream0-regime0-d10/5,0,0,0,10,1.0,1.0,0.0,staggered-cycle,soft-quadratic,0.00024059124084912145,True
