cohort,target_id,replica,stream,regime,dimension,radius,gamma,strength,geometry,decoder,squared_angle_radians,hard_success
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,0.00028624616253272245,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,2.54358326144042e-05,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,8.877128810406775e-05,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,0.00014713834711026154,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,0.00017308663901744714,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,3.221154276675492e-05,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,0.00024160085358168343,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-ac,0.00014147267214581147,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,0.0002834747579699178,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,3.6069854766184065e-05,
main,main/rep0-stream0-regime0-d10/2,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,0.0001056732557982594,
main,main/rep0-stream0-regime0-d10/3,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,0.0001242734618638757,
main,main/rep0-stream0-regime0-d10/4,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,0.0001574578327829399,
main,main/rep0-stream0-regime0-d10/5,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,3.742061193382992e-05,
main,main/rep0-stream0-regime0-d10/6,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,0.00022220158964094625,
main,main/rep0-stream0-regime0-d10/7,0,0,0,10,0.1,1.0,0.0,staggered-cycle,quadratic-vc,0.00016483757712963958,
main,main/rep0-stream0-regime0-d10/0,0,0,0,10,0.1,1.0,0.0,random-mirrors,quadratic-ac,0.0010212721898741506,
main,main/rep0-stream0-regime0-d10/1,0,0,0,10,0.1,1.0,0.0,random-mirrors,quadratic-ac,0.00015383916024469684,
